"State","literacyRate"
"California","0.7690"
"New York","0.7790"
"Florida","0.8030"
"Texas","0.8100"
"New Jersey","0.8310"
"Georgia","0.8330"
"New Mexico","0.8350"
"Nevada","0.8390"
"Louisiana","0.8400"
"Mississippi","0.8400"
"Hawaii","0.8410"
"Alabama","0.8520"
"South Carolina","0.8530"
"Arkansas","0.8630"
"North Carolina","0.8640"
"West Virginia","0.8660"
"Tennessee","0.8680"
"Arizona","0.8690"
"Illinois","0.8710"
"Pennsylvania","0.8740"
"Oklahoma","0.8770"
"Kentucky","0.8780"
"Virginia","0.8800"
"Maryland","0.8880"
"Delaware","0.8930"
"Idaho","0.8950"
"Oregon","0.8980"
"Colorado","0.9010"
"Massachusetts","0.9010"
"Washington","0.9020"
"Utah","0.9060"
"Alaska","0.9080"
"Ohio","0.9090"
"Wyoming","0.9110"
"Montana","0.9120"
"Connecticut","0.9140"
"Rhode Island","0.9150"
"Michigan","0.9170"
"Indiana","0.9200"
"Kansas","0.9220"
"Iowa","0.9250"
"Missouri","0.9250"
"Maine","0.9260"
"Nebraska","0.9270"
"Wisconsin","0.9270"
"South Dakota","0.9300"
"Vermont","0.9340"
"North Dakota","0.9370"
"Minnesota","0.9400"
"New Hampshire","0.9420"
