"State","gunsRegistered","Pop"
"Texas","588696","30097526"
"California","344622","39664128"
"Florida","343288","22177997"
"Virginia","307822","8638218"
"Pennsylvania","236377","12805190"
"Georgia","190050","10936299"
"Arizona","179738","7640796"
"Ohio","173405","11727377"
"Alabama","161641","4949697"
"North Carolina","152238","10807491"
"Illinois","146487","12518071"
"Wyoming","132806","582233"
"Louisiana","116831","4616106"
"Indiana","114019","6842385"
"South Carolina","105601","5342388"
"Maryland","103109","6075314"
"Tennessee","99159","7001803"
"New Mexico","97580","2109093"
"Colorado","92435","5961083"
"Washington","91835","7887965"
"Connecticut","82400","3546588"
"Kentucky","81068","4487233"
"Arkansas","79841","3042017"
"Minnesota","79307","5739781"
"Nevada","76888","3238601"
"New York","76207","19223191"
"Missouri","72996","6184843"
"Utah","72856","3363182"
"Oklahoma","71269","4007179"
"Michigan","65742","9995212"
"Wisconsin","64878","5867518"
"New Hampshire","64135","1378449"
"Oregon","61383","4325290"
"New Jersey","57507","8870685"
"Kansas","52634","2919179"
"Idaho","49566","1896652"
"Rhode Island","37152","1062583"
"Massachusetts","37152","6922107"
"Mississippi","35494","2961536"
"West Virginia","35264","1755715"
"Iowa","28494","3174426"
"Nebraska","22234","1960790"
"Montana","22133","1093117"
"South Dakota","21130","902542"
"Alaska","15824","720763"
"Maine","15371","1359677"
"North Dakota","13272","774008"
"Hawaii","7859","1401709"
"Vermont","5872","622882"
"Delaware","4852","998619"
