"State","religiousAdults","Pop"
"New Hampshire","0.3300","1378449"
"Massachusetts","0.3300","6922107"
"Vermont","0.3400","622882"
"Maine","0.3400","1359677"
"Connecticut","0.4300","3546588"
"Wisconsin","0.4500","5867518"
"Washington","0.4500","7887965"
"Alaska","0.4500","720763"
"New York","0.4600","19223191"
"Hawaii","0.4700","1401709"
"Colorado","0.4700","5961083"
"Oregon","0.4800","4325290"
"Montana","0.4800","1093117"
"Rhode Island","0.4900","1062583"
"Nevada","0.4900","3238601"
"Minnesota","0.4900","5739781"
"California","0.4900","39664128"
"Illinois","0.5100","12518071"
"Idaho","0.5100","1896652"
"Delaware","0.5200","998619"
"Pennsylvania","0.5300","12805190"
"North Dakota","0.5300","774008"
"Michigan","0.5300","9995212"
"Arizona","0.5300","7640796"
"Wyoming","0.5400","582233"
"Nebraska","0.5400","1960790"
"Maryland","0.5400","6075314"
"Indiana","0.5400","6842385"
"Florida","0.5400","22177997"
"New Jersey","0.5500","8870685"
"Kansas","0.5500","2919179"
"Iowa","0.5500","3174426"
"New Mexico","0.5700","2109093"
"Ohio","0.5800","11727377"
"South Dakota","0.5900","902542"
"Missouri","0.6000","6184843"
"Virginia","0.6100","8638218"
"Kentucky","0.6300","4487233"
"Utah","0.6400","3363182"
"Texas","0.6400","30097526"
"North Carolina","0.6500","10807491"
"Oklahoma","0.6600","4007179"
"Georgia","0.6600","10936299"
"West Virginia","0.6900","1755715"
"South Carolina","0.7000","5342388"
"Arkansas","0.7000","3042017"
"Louisiana","0.7100","4616106"
"Tennessee","0.7300","7001803"
"Mississippi","0.7700","2961536"
"Alabama","0.7700","4949697"
